Vendor,Vendor Name,Psoft Part Number,MOVE Part Number,Qty OnHand,Status,Type,Stock Type,Weight,Weight UOM,Master Pack Qty,Std Pack Qty
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001705699,507102B00000G,8416,A,AB,STD1,0, ,5000,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001642943,600952F00000,5,A,DE,CUST,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001642779,563002B00000G,10644,A,AA,STD1,0, ,2000,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001642778,6038BG,2369,A,EE,CST2,0, ,2500,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001642156,533501B12552G,920,A,CD,CUST,0, ,1000,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627425,7721-7PPSG,80368,A,AA,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627424,7141DG,4819,A,EC,CST2,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627421,7136DG,9026,A,BB,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627416,7109DG,4044,A,BA,STD1,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627402,7021B-MTG,2270,A,IC,MGD2,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627376,6225B-MTG,6295,A,BD,CST2,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627375,6224BG,5204,A,AB,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627359,6021BG,8664,A,AA,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627343,581202B02500G,1823,A,EB,STD1,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627342,581102B02500G,2242,A,IB,STD2,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627339,581002B02500G,1867,A,BA,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627333,577202B04000G,20103,A,AB,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627329,577102B04000G,6805,A,AB,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627327,577002B04000G,277,A,BB,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627321,576602T00000G,1883,A,BD,MGD,0, ,0,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627315,574902B04300G,2202,A,DE,MGD,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627308,574502B03700G,5591,A,EB,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627294,566010B02800G,2053,A,EE,CUST,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627281,534202B03453G,3179,A,AB,MGD,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627270,533422B02552G,2000,A,EC,STD1,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627255,531202B02500G,3949,A,AB,STND,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627251,531102B02500G,9385,A,AA,STND,0, ,1500,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627248,531002B02500G,3629,A,AA,STD1,0, ,1500,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627243,530400B00100G,560,A,EE,STND,0, ,0,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627241,530102B00150G,1110,A,EB,STD1,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627238,530002B02500G,4335,A,AA,MGD,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627237,530001B02500G,1983,A,DC,MGD1,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627233,53-77-9G,4194,A,BB,STD1,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627228,529802B02500G,18577,A,AA,STND,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627227,529801B02500G,4260,A,AA,STND,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627225,529702B02500G,2100,A,EA,MGD,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627215,513102B02500G,1315,A,AA,STND,0, ,0,750
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627210,507302B00000G,5447,A,AA,STND,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627197,501200B00000G,323,A,EB,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627193,4880SG,7820,A,BA,STD1,0, ,0,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627191,4880G,4979,A,AA,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001627190,43-77-9G,10918,A,BB,MGD,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001626469,593202B03500G,13463,A,EC,STD1,0, ,1500,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001509659,533402B12552G.,2000,A,DE,CST2,0, ,1000,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492392,7023B-MTG,2173,A,EB,STD1,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492391,7020B-MTG,8955,A,BB,STD1,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492377,593002B03400G,23921,A,AA,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492375,592502B03400G,2876,A,AB,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492364,577202B00000G,25583,A,AA,STND,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492362,577102B00000G,2491,A,AA,MGD,0, ,50000,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492361,577002B00000G,9725,A,AA,STND,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492359,576802B04000G,46324,A,AA,MGD,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492358,576802B03900G,8494,A,EB,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492355,576802B03100G,2815,A,AB,MGD,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492354,576802B00000G,9708,A,AA,STND,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492342,574502B03300G,5475,A,EB,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492339,574102B00000G,2542,A,EA,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492338,573902B04000G,2037,A,DD,CUST,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492334,573300D00010G,29000,A,AA,STND,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492333,573300D00000G,6862,A,AB,STND,0, ,2500,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492332,573100D00010G,17750,A,AB,STND,0, ,0,250
